,LIEU_VILLE,LIEU_CODE_POSTAL,LIEU_COORD_GPS_X,LIEU_COORD_GPS_Y,NOM_ZONE,TYPE_LIEU_V2_1,TYPE_LIEU_V2_2,TYPE_DECHET,SURFACE,DATE,VOLUME_TOTAL,dd,ff,t,ww,rr24,rr_weekly,rr_monthly,NB_DECHET_SECTEUR_ALIMENTATION,NB_DECHET_SECTEUR_TABAC,NB_DECHET_SECTEUR_PHARMACEUTIQUE/PARAMÉDICAL,wind_flow,saison
364,Marseille,13013,5.408961792,43.32814099,"COllège Auguste Renoir, cour + espace naturels",Zone urbaine,"Parc urbain, Jardin public",Présent au sol (abandonné),11995.13671,2022-02-04,278.5,250.0,3.4,287.15,0.0,-0.1,-0.1,15.5,1292.0,0.0,47.0,OSO,Hiver
365,Marseille,13008,5.395327026,43.26780733,99 boulevard Michelet,Cours d'eau,Berge naturelle (hors plage),Présent au sol (abandonné),862.4556102,2022-03-20,4653.0,140.0,11.0,289.85,0.0,0.0,2.5,2.9000000000000004,518.0,1000.0,0.0,SE,pringtemps
366,Marseille,13008,5.374274881,43.25311003,Plages de l'Escale Borely,Littoral (terrestre),"Parc urbain, Jardin public",Présent au sol (abandonné),181434.7303,2022-04-30,3310.0,270.0,4.3,296.85,0.0,0.0,11.899999999999997,15.399999999999997,519.0,26000.0,127.0,O,pringtemps
367,Marseille,13008,5.371019433,43.26267401,Plage du Prado Nord,Littoral (terrestre),"Parc urbain, Jardin public",Présent au sol (abandonné) ou échoué,122899.127,2022-06-05,790.0,250.0,3.2,301.85,0.0,0.0,0.999999999999998,37.0,372.0,12001.0,11.0,OSO,été
368,Marseille,13008,5.366882121,43.24499178,Port de la Pointe Rouge,Littoral (terrestre),Port,Présent au sol (abandonné) ou échoué,1588.409385,2022-07-24,1730.0,270.0,2.5,307.75,0.0,0.0,0.0,2.2,942.0,4510.0,7.0,O,été
370,Marseille,13000,5.290054896,43.35779848,Plages de Corbières,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,14988.22654,2022-09-17,4960.0,,,,,,,,5569.0,47016.0,21.0,,automne
372,Marseille,13008,5.372991278,43.25800027,plage de l'huveaune,Mer-Océan,Mer-Océan,Flottant,89070.05251,2022-03-06,1600.0,300.0,2.0,284.25,0.0,0.0,0.0,13.6,141.0,10.0,3.0,ONO,pringtemps
382,Marseille,13010,5.409413424,43.27528876,Berge de l'Huveaune - Collège Louise Michel,Cours d'eau,Berge naturelle (hors plage),Présent au sol (abandonné) ou échoué,292.0049792,2018-06-22,266.27,,,,,,,,394.0,210.0,3.0,,été
383,Marseille,13009,5.402592936,43.27091708,Promenade Dromel,Zone urbaine,"Route, rue, place",Présent au sol (abandonné),11675.93078,2022-03-26,120.0,270.0,4.7,291.65,0.0,0.0,0.4,2.8000000000000007,58.0,50.0,18.0,O,pringtemps
384,Marseille,13011,5.462065698,43.29043382,Emmaüs Saint Marcel,Cours d'eau,Lit du cours d'eau,Présent au sol (abandonné) ou échoué,1131.195016,2022-03-20,6393.0,140.0,11.0,289.85,0.0,0.0,2.5,2.9000000000000004,121.0,15.0,50.0,SE,pringtemps
385,Marseille,13009,5.406496519,43.27318167,Berges de L'Huveaune,Cours d'eau,Berge naturelle (hors plage),Enfoui,5486.502108,2022-03-03,2070.0,250.0,2.6,286.35,0.0,0.0,-0.1,26.4,77.0,0.0,0.0,OSO,pringtemps
388,Marseille,13008,5.362398465,43.24036172,Bain des dames,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné),1051.044866,2022-03-22,37.0,180.0,8.4,289.95,0.0,0.0,0.3,2.9000000000000004,7.0,714.0,2.0,S,pringtemps
392,Marseille,13015,5.362443956,43.34487731,Ruisseau des Aygalades,Cours d'eau,Berge naturelle (hors plage),Enfoui,10353.13475,2022-03-31,2000.0,310.0,10.6,291.45,0.0,1.8,3.4000000000000004,6.200000000000001,0.0,0.0,0.0,ONO,pringtemps
393,Marseille,13015,5.353604476,43.36130468,Parc Foresta,Zone urbaine,"Parc urbain, Jardin public",Présent au sol (abandonné),18983.13261,2022-04-03,1700.0,270.0,8.1,284.25,0.0,0.0,-0.1000000000000017,15.1,1023.0,0.0,49.0,O,pringtemps
395,Marseille,13015,5.348791485,43.34406896,Collège Arthur Rimbaud,Zone urbaine,"Parc urbain, Jardin public",Présent au sol (abandonné),29414.19538,2022-03-17,174.0,10.0,2.9,290.25,0.0,0.0,2.5,8.0,344.0,150.0,50.0,N,pringtemps
399,Marseille,13008,5.362459916,43.240843,Plage du bain des dames et alentours,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,5834.32046,2022-05-01,605.0,260.0,4.4,295.65,0.0,0.0,5.800000000000001,11.9,101.0,1854.0,2.0,OSO,pringtemps
401,Marseille,13007,5.368798163,43.26749893,bassin du Roucas blanc,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,39758.13897,2022-05-14,1200.0,200.0,5.6,298.05,0.0,0.2,9.499999999999998,14.9,125.0,102.0,0.0,SSO,pringtemps
402,Marseille,13008,5.375873193,43.23595022,Parc Pastré,Zone naturelle ou rurale (hors littoral et montagne),Forêt,Présent au sol (abandonné),6964.444207,2022-04-29,1260.0,190.0,6.5,296.15,0.0,0.0,12.699999999999996,15.399999999999997,117.0,56.0,17.0,S,pringtemps
403,Marseille,13000,5.292138573,43.35768852,Corbières,Mer-Océan,Mer-Océan,Flottant,21525.6551,2022-05-08,355.0,210.0,6.6,295.65,0.0,0.2,0.0,5.6000000000000005,386.0,6.0,6.0,SSO,pringtemps
410,Marseille,13009,5.403706145,43.21350772,Cortiou - zone occupée par ouvriers et pêcheurs,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,4074.383266,2022-03-29,4510.0,180.0,6.0,292.75,0.0,0.0,0.0,2.8000000000000007,0.0,0.0,0.0,S,pringtemps
412,Marseille,13002,5.361367089,43.29664718,Le mucem,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,12095.32517,2022-08-28,3800.0,270.0,3.2,304.25,0.0,0.0,0.0,13.4,3523.0,12026.0,13.0,O,été
418,Marseille,13007,5.306068301,43.2821405,Friou calanque morgiret,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,44761.47287,2022-06-04,190.0,270.0,3.7,304.15,0.0,0.0,2.3999999999999977,36.9,147.0,250.0,3.0,O,été
420,Marseille,13009,5.405055604,43.22940058,Quartier la Cayolle,Zone urbaine,"Route, rue, place",Présent au sol (abandonné),111654.0101,2022-05-21,1940.0,200.0,3.8,299.45,0.0,0.0,0.0,15.1,339.0,500.0,69.0,SSO,pringtemps
426,Marseille,13007,5.362061107,43.27319081,Prophète,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,7147.994715,2022-06-04,227.0,270.0,3.7,304.15,0.0,0.0,2.3999999999999977,36.9,96.0,788.0,1.0,O,été
428,Marseille,13008,5.349761631,43.22959395,spot Mauvais Pas Samena et Mont Rose,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,77403.85565,2022-06-04,1590.0,270.0,3.7,304.15,0.0,0.0,2.3999999999999977,36.9,506.0,3047.0,21.0,O,été
430,Marseille,13008,5.363557104,43.21020705,callelongue  queyrons,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné),440182.7252,2022-06-04,500.0,270.0,3.7,304.15,0.0,0.0,2.3999999999999977,36.9,0.0,0.0,0.0,O,été
432,Marseille,13009,5.43233554,43.23260205,Parking de Kedge Business School,Zone urbaine,"Route, rue, place",Présent au sol (abandonné),20638.05296,2022-06-04,2235.0,270.0,3.7,304.15,0.0,0.0,2.3999999999999977,36.9,369.0,200.0,90.0,O,été
433,Marseille,13008,5.35365864,43.21231816,Callelongue,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,259727.9635,2022-06-04,1328.0,270.0,3.7,304.15,0.0,0.0,2.3999999999999977,36.9,373.0,2200.0,71.0,O,été
436,Marseille,13009,5.49728189,43.20273551,Plage d'En-Vau,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,7160.22923,2022-07-17,91.0,260.0,4.7,305.05,0.0,0.0,0.0,2.7,32.0,65.0,0.0,OSO,été
437,Marseille,13011,5.460595978,43.2837658,Parking et chemins de la route des Crêtes,Montagne,Sentier et chemin,Présent au sol (abandonné),14071.60315,2022-08-03,457.0,180.0,5.6,306.35,0.0,0.0,0.2,33.4,271.0,300.0,10.0,S,été
438,Marseille,13009,5.444536194,43.21221038,Calanque de Morgiou,Mer-Océan,Mer-Océan,Flottant,13013.01344,2022-06-18,716.0,180.0,8.1,308.05,0.0,0.0,0.0,4.3,121.0,2.0,0.0,S,été
441,Marseille,13007,5.352666504,43.28007595,Anse de la Fausse Monnaie,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,2545.324088,2022-07-23,153.5,260.0,2.7,305.65,0.0,0.0,0.0,2.2,313.0,2518.0,7.0,OSO,été
442,Marseille,13008,5.343020953,43.21493136,Plage de la Maronaise,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,876.9736702,2022-06-04,31.18,270.0,3.7,304.15,0.0,0.0,2.3999999999999977,36.9,242.0,280.0,97.0,O,été
443,Marseille,13007,5.346576562,43.28106855,Anse de Malmousque,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné),10109.77244,2022-06-25,680.0,210.0,5.7,303.55,0.0,0.0,4.799999999999998,7.1,193.0,5000.0,9.0,SSO,été
444,Marseille,13007,5.299486719,43.26979772,Plage de Pomègues,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,491.9193969,2022-04-20,73.1,100.0,3.1,290.65,61.0,0.4,1.1999999999999984,9.999999999999998,163.0,41.0,30.0,E,pringtemps
445,Marseille,13008,5.34561768,43.22160756,Escalette,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné),20771.36857,2022-06-04,298.1,270.0,3.7,304.15,0.0,0.0,2.3999999999999977,36.9,178.0,2415.0,13.0,O,été
446,Marseille,13008,5.340372988,43.21504893,Littoral Nord Maronaise (sans la plage),Littoral (terrestre),Rocher et crique,Présent au sol (abandonné),13340.08037,2022-06-04,310.0,270.0,3.7,304.15,0.0,0.0,2.3999999999999977,36.9,82.0,1055.0,21.0,O,été
447,Marseille,13008,5.34264682,43.21318121,Littoral Sud  Maronaise,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,27806.98449,2022-06-04,155.0,270.0,3.7,304.15,0.0,0.0,2.3999999999999977,36.9,21.0,415.0,2.0,O,été
452,Marseille,13009,5.437196481,43.22888528,Barrière de Luminy et alentours,Zone naturelle ou rurale (hors littoral et montagne),Sentier et chemin,Présent au sol (abandonné),15870.70023,2022-06-11,432.0,260.0,2.6,306.85,0.0,0.0,-0.100000000000002,16.8,51.0,160.0,14.0,OSO,été
454,Marseille,13008,5.348865421,43.21383575,Parking Napoléon,Littoral (terrestre),Parking,Présent au sol (abandonné),3147.903369,2022-07-05,345.0,330.0,8.3,307.25,0.0,0.0,2.2,3.6,109.0,1270.0,9.0,NO,été
456,Marseille,13008,5.373030832,43.26030963,Terrains sports en plage et alentours,Zone urbaine,"Parc urbain, Jardin public",Présent au sol (abandonné),28404.72081,2022-07-14,70.5,260.0,5.4,305.45,0.0,0.0,0.0,2.6,66.0,27001.0,2.0,OSO,été
457,Marseille,13009,5.428932598,43.23821531,Parking de l'ancienne piscine de Luminy,Zone naturelle ou rurale (hors littoral et montagne),Parking,Présent au sol (abandonné),2614.0544,2022-07-13,1562.0,190.0,7.2,303.45,0.0,0.0,0.0,3.6,301.0,170.0,3.0,S,été
458,Marseille,13007,5.299486719,43.26979772,Plage de Pomègues,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,491.9193969,2022-06-23,32.8,140.0,7.6,298.05,0.0,3.5,4.899999999999998,7.799999999999999,169.0,70.0,16.0,SE,été
460,Marseille,13009,5.435145945,43.23783723,"Aire de pique nique et routes s'y rendant depuis les barrières DFCI stade, rond point et CROUS",Zone urbaine,"Route, rue, place",Présent au sol (abandonné),7624.76022,2022-07-20,249.0,250.0,7.3,306.25,0.0,0.0,0.0,2.8000000000000003,57.0,135.0,0.0,OSO,été
464,Marseille,13007,5.34994393,43.28546812,Vallon des Auffes,Multi-lieux,Multi-Lieux,Présent au sol (abandonné) ou échoué,17961.76496,2022-08-07,2400.0,280.0,2.7,305.15,0.0,0.0,0.0,33.4,597.0,1001.0,0.0,O,été
466,Marseille,13007,5.299126238,43.28149927,plage frioul,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné),626.7109933,2022-08-18,58.0,,,,,,,,39.0,1.0,0.0,,été
468,Marseille,13007,5.350052842,43.2852192,Vallon des Auffes,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,8560.183532,2022-09-11,460.0,270.0,5.7,299.55,0.0,0.0,0.0,75.5,50.0,3.0,0.0,O,automne
469,Marseille,13007,5.307500619,43.28495828,Plage du frioul,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné),1501.111045,2022-08-18,236.0,,,,,,,,26.0,29.0,6.0,,été
471,Marseille,13007,5.349694951,43.28546684,Vallon des Auffes,Mer-Océan,Mer-Océan,Flottant,25226.52653,2022-09-11,355.0,270.0,5.7,299.55,0.0,0.0,0.0,75.5,184.0,33.0,28.0,O,automne
472,Marseille,13009,5.402592936,43.27091708,Promenade Dromel,Zone urbaine,"Route, rue, place",Présent au sol (abandonné),11675.93078,2022-10-01,20.0,290.0,4.3,291.35,0.0,0.0,0.0,-0.3,47.0,200.0,4.0,O,automne
473,Marseille,13000,5.292249819,43.35765827,Corbières,Mer-Océan,Mer-Océan,Flottant,32589.11009,2022-09-17,250.0,,,,,,,,105.0,11.0,1.0,,automne
476,Marseille,13009,5.401825701,43.23146653,quartier de la Cayolle,Zone urbaine,"Route, rue, place",Présent au sol (abandonné),432903.7733,2022-09-23,991.0,210.0,6.3,297.75,0.0,0.2,1.2,5.500000000000001,457.0,505.0,54.0,SSO,automne
477,Marseille,13008,5.342974572,43.2148876,Plage de la Maronaise,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,332.8853906,2021-11-06,119.9,320.0,4.6,288.35,0.0,0.0,26.9,61.2,996.0,77.0,30.0,NO,automne
479,Marseille,13008,5.350106647,43.21278284,Route de Callelongue,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,43852.87161,2022-09-17,1487.0,,,,,,,,484.0,10000.0,45.0,,automne
484,Marseille,13009,5.408328259,43.27487917,Dromel 2,Cours d'eau,Berge naturelle (hors plage),Présent au sol (abandonné) ou échoué,27.80650638,2022-10-18,5800.0,270.0,4.4,297.45,0.0,0.0,0.1,1.9,128.0,0.0,5.0,O,automne
486,Marseille,13009,5.404962822,43.27231121,DROMEL 1,Zone urbaine,"Route, rue, place",Enfoui,15508.89405,2022-10-19,600.0,350.0,1.5,296.55,0.0,0.2,0.3,2.1,169.0,0.0,35.0,NNO,automne
487,Marseille,13009,5.406076724,43.27295326,DROMEL 1,Zone urbaine,"Route, rue, place",Présent au sol (abandonné),7225.754732,2022-10-19,300.0,350.0,1.5,296.55,0.0,0.2,0.3,2.1,0.0,0.0,0.0,NNO,automne
489,Marseille,13008,5.396941393,43.26800217,Huveaune côté stade Vélodrome,Cours d'eau,Berge naturelle (hors plage),Présent au sol (abandonné),12727.88035,2022-10-16,3250.0,160.0,7.6,299.45,0.0,0.0,0.3,1.7,561.0,1000.0,251.0,SSE,automne
490,Marseille,13007,5.362003009,43.29387438,Quai Marcel Pagnol,Littoral (terrestre),Port,Présent au sol (abandonné),942.680356,2022-11-27,3900.0,270.0,1.9,289.35,0.0,0.0,7.399999999999999,80.69999999999999,4758.0,5060.0,53.0,O,automne
495,Marseille,13008,5.366827509,43.24521272,Club de Voile Pointe Rouge,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,3437.679887,2022-10-08,0.0,290.0,2.8,294.45,0.0,1.0,1.4,1.2,0.0,0.0,0.0,O,automne
496,Marseille,13007,5.369641841,43.26667845,Club La Pelle,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,14866.4105,2022-10-15,1600.0,270.0,1.8,297.75,0.0,0.2,0.5,1.7,178.0,140.0,4.0,O,automne
498,Marseille,13008,5.385445612,43.26292826,Parc Henri Fabre,Cours d'eau,Berge naturelle (hors plage),Présent au sol (abandonné) ou échoué,5707.38827,2022-10-15,1200.0,270.0,1.8,297.75,0.0,0.2,0.5,1.7,132.0,0.0,19.0,O,automne
499,Marseille,13007,5.299486719,43.26979772,Plage de Pomègues,Littoral (terrestre),"Plage (sable, galets, gravillons)",Echoué,491.9193969,2022-09-16,118.55,320.0,11.1,299.75,10.0,0.0,2.6,78.1,821.0,219.0,109.0,NO,automne
503,Marseille,13007,5.352958899,43.28033868,Anse de la Fausse Monnaie,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,851.7148746,2022-11-14,202.3,100.0,7.6,291.55,0.0,-0.1,0.5000000000000001,92.5,270.0,809.0,8.0,E,automne
511,Marseille,13007,5.289795862,43.26250242,Calanques Cambrettes,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,1154.340889,2022-09-30,250.0,320.0,9.5,292.25,0.0,0.0,29.6,34.2,374.0,30.0,15.0,NO,automne
512,Marseille,13007,5.304563989,43.28213602,Calanque de Morgiret,Mer-Océan,Mer-Océan,Flottant,21108.34049,2022-07-08,225.0,270.0,4.1,304.25,0.0,0.0,0.0,3.6,98.0,0.0,0.0,O,été
513,Marseille,13000,5.293898345,43.35898039,Corbières,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,1638.283785,2022-10-06,202.0,250.0,3.9,296.95,0.0,0.2,0.4,0.1,75.0,2448.0,0.0,OSO,automne
516,Marseille,13008,5.367350821,43.24521152,Pointe Rouge,Littoral (terrestre),Port,Présent au sol (abandonné) ou échoué,6124.595188,2022-10-08,980.0,290.0,2.8,294.45,0.0,1.0,1.4,1.2,410.0,1000.0,13.0,O,automne
517,Marseille,13003,5.375369002,43.31316302,Boulevard National,Zone urbaine,"Route, rue, place",Présent au sol (abandonné),13888.35397,2023-01-15,7265.0,260.0,3.1,285.25,0.0,0.0,-0.0999999999999999,1.1,5962.0,5000.0,0.0,OSO,Hiver
518,Marseille,13006,5.371127498,43.28437449,Notre Dame de la Garde,Zone urbaine,"Parc urbain, Jardin public",Présent au sol (abandonné),61591.1726,2023-02-12,4762.0,300.0,1.3,283.05,0.0,0.0,6.3,9.0,2978.0,30032.0,88.0,ONO,Hiver
519,Marseille,13007,5.348620067,43.28026932,Anse de Malmousque et ses alentours,Mer-Océan,Mer-Océan,Flottant,33946.37722,2023-03-05,39.5,260.0,5.8,283.75,0.0,0.0,10.4,28.3,6.0,0.0,0.0,OSO,pringtemps
520,Marseille,13007,5.349622998,43.28139599,Plateau de Malmousque et ses alentours,Littoral (terrestre),Multi-Lieux,Présent au sol (abandonné) ou échoué,79400.33468,2023-03-05,1661.0,260.0,5.8,283.75,0.0,0.0,10.4,28.3,402.0,6011.0,23.0,OSO,pringtemps
521,Marseille,13008,5.342997017,43.21490014,Plage de la Maronaise,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,1379.876103,2022-12-05,18.3,,,,,,,,173.0,58.0,20.0,,Hiver
523,Marseille,13006,5.371113016,43.28433024,Colline de la Notre Dame de la Garde,Zone urbaine,"Parc urbain, Jardin public",Présent au sol (abandonné),60284.42014,2022-09-28,57.0,280.0,10.8,295.95,0.0,0.2,30.8,34.2,248.0,2503.0,7.0,O,automne
526,Marseille,13008,5.367022528,43.24514273,Club de Voile Pointe Rouge,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,4514.954027,2023-01-22,800.0,330.0,7.2,279.25,0.0,0.0,1.1,2.2,135.0,174.0,2.0,NO,Hiver
527,Marseille,13007,5.299521759,43.26982761,Plage de Pomègues,Littoral (terrestre),"Plage (sable, galets, gravillons)",Echoué,491.9193969,2023-01-20,22.91,330.0,16.9,280.55,10.0,0.0,1.1,2.4,148.0,41.0,7.0,NO,Hiver
529,Marseille,13007,5.318979402,43.2847957,Calanque de L'Eoube,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,1047.738429,2022-11-25,1165.0,240.0,2.5,288.65,0.0,-0.1,7.399999999999999,80.69999999999999,89.0,3.0,0.0,SO,automne
531,Marseille,13007,5.3620065,43.273192,Plage du prophète,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,6887.835321,2023-01-25,125.0,330.0,5.2,281.05,0.0,0.0,0.0,1.9,38.0,25.0,7.0,NO,Hiver
535,Marseille,13015,5.353263698,43.35974235,Parc Foresta,Zone urbaine,"Parc urbain, Jardin public",Présent au sol (abandonné),47329.45672,2023-03-26,3225.0,320.0,7.4,290.15,0.0,0.0,0.0,16.0,1041.0,0.0,31.0,NO,pringtemps
540,Marseille,13055,5.374567509,43.25478507,Plages du Prado,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,43938.0,2022-02-23,856.0,250.0,5.1,290.05,0.0,0.0,0.4,34.0,,,,OSO,Hiver
556,Marseille,13055,5.3064394,43.27548224,"Isles du Frioul, Marseille",Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,1693402.0,2022-05-28,960.0,330.0,10.8,300.55,0.0,0.0,-0.2,9.1,,,,NO,pringtemps
558,Marseille,13055,5.290571451,43.35772396,Plage de Corbières,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,15129.0,2022-06-03,615.5,60.0,6.5,303.25,0.0,0.4,2.9999999999999982,36.9,,,,ENE,été
567,Marseille,13055,5.380967259,43.26011638,Parc Borély,Zone urbaine,"Parc urbain, Jardin public",Présent au sol (abandonné),9103.0,2022-06-22,9.6,110.0,4.6,299.25,0.0,1.4,1.399999999999998,4.299999999999999,,,,ESE,été
590,Marseille,13055,5.303459466,43.36088146,Thalassanté,Littoral (terrestre),Port,Présent au sol (abandonné),20169.0,2022-07-24,4840.0,270.0,2.5,307.75,0.0,0.0,0.0,2.2,,,,O,été
608,Marseille,13055,5.293757021,43.35875869,Plage de la Lave,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,4136.0,2022-09-29,958.5,280.0,5.3,293.55,0.0,0.0,29.8,34.2,,,,O,automne
613,Marseille,13055,5.373103023,43.2630511,Plage du Prado,Littoral (terrestre),"Parc urbain, Jardin public",Présent au sol (abandonné),22471.0,2022-07-13,38.7,190.0,7.2,303.45,0.0,0.0,0.0,3.6,,,,S,été
